N.B	EH N B
DELITESCENCY	D IH L AH T AH S EH N S IY
DASN'T	D AE Z N T
GOBLET-SHAPED	G AA B L AH T SH EY P T
DARBUKA	D AA R B Y UW K AH
CRACKPOTTERY	K R AE K P OW T AH R IY
DECIPHERABLE	D IY S AY F ER AH B AH L
CRAM-FULL	K R AE M F UH L
DEBONAIRITY	D EH B AH N EH R AH T IY
DEBONAIRNESS	D EH B AH N EH R N AH S
DISCIPLESS	D IH S AY P AH L AH S
DENDROIDAL	D IH N D R OY D AH L
DEBOSH	D AH B AA SH
ALL-NUDE	AO L N UW D
CONSCIENTIOUSNESS	K AA N CH IY EH N CH AH S N AH S
DISCOURAGINGLY	D IH S K ER IH JH IH NG L IY
CEREBROMA	S AH R EH B R AH M AH
CHERISHMENT	CH EH R IH SH M AH N T
DINKWAD	D IH NG K W AH D
DIGAMOUS	D IH G AH M AH S
DIKA'S	D IH K AH Z
MANGO-LIKE	M AE NG G OW L AY K
CRUCIALITY	K R UW SH AH L AH T IY
DIALECTOLOGIST	D AY AH L EH K T AA L AH JH AH S T
DIVINIFIES	D AH V AY N AH F AY Z
LA-LA-LA"S	L AA L AA L AA S
DE"S	D IY S
DO"S	D UW S
DA"S	D AA S
CRUMMABLE	K R AH M AH B AH L
CONJECTOR	K AA N JH EH K T AH R
NAMELESSNESS	N EY M L AH S N AH S
BITCH'S	B IH CH IX Z
HETEROS	HH EH T AH R AH Z
DIVERTISEMENTS	D IH V AH R T IH S AH M AH N T S
CULTIGENS	K AH L T AH JH AH N Z
DISPOSSESSION'S	D IH S P AH Z EH SH AH N Z
TOYMAKER'S	T OY M EY K ER Z
GUILT-FREE	G IH L T F R IY
DISBLAMED	D IH S B L EY M D
HANDICAPPED'S	HH AE N D IY K AE P TS
CINNAMALDEHYDE	S IH N AH M AE L D AH HH AY D
DIVULSION	D IH V Y UH L Z IY AH N
DIK-DIK	D IH K D IH K
PENIS-PENIS	P IY N IH S P IY N IH S
STRANGLIN	S T R AE N G L AH N
COLVIG	K AA L V IH G
BAMSTADT	B AE M S T AH D T
BOOZLER'S	B UW Z L AH R Z
DEAD-STICK	D EH D S T IH K
OFAY	AA F EY IY
DEPANTSED	D IY P AE N T S T
DIREPTITIOUSLY	D AH R EH P T AH T IY OW AH S L IY
DISIMPROVEMENT	D IH S IH M P R UW V M AH N T
DIRER-ER-ER-ER-ER	D AY ER ER ER ER ER ER
DISCODACTYLIA	D IH S AH D AE K T IH L Y AH
FROGGIES	F R AA G IY Z
TRANSCENDEDLY	T R AE N S EH N D AH D L IY
AMBI-ENDEDLY	AE M B IY EH N D AH D L IY
DISUTILIZE	D IH S Y UW T AH L AY Z
DISTRESSEDLY	D IH S T R EH S AH D L IY
HESTER'S	HH EH S T ER Z
KAAPORI	K AA P AH R IY
MEET'S	M IY TS
CHEBSAURUS	CH EH B S EY Y AH R AH S
CAGEBIRD	K EY JH B ER D
BACKPOCKETBIRDS	B AE K P AA K AH T B ER D Z
DECENNIUM	D AH S EH N IY AH M
DECOMMODIFICATION'S	D IY K AH M AA D AH F AH K EY SH AH N Z
BOLTOP	B OW L T AH P
WRITE-UP	R AY T AH P
DISATTIRE	D IH S AH T AY ER
OPEN-MOUTHED	OW P AH N M AW DH D
SQUILL	S K W IH L
MENTHOLS	M EH N TH AH L Z
WILTIN	W IH L T IH N
CRUMB-BUMS	K R AH M B AH M Z
DIAMONDIZE	D AY M AH N D AY Z
DECLASSIFICATION	D IY K L AE S AH F AH K EY SH AH N
MACHAGGIS	M AH CH AE G AH S
CETICIDE	S EH T AH S AY D
DAM-SEL	D AE M S EH L
DESTRESS	D IY S T R EH S
MAHONEY'S	M AH HH OW N IY Z
YAWW	Y AO W
WAWW	W AO W
HAWW	HH AO W
CYCASIN	S IH K AH S AH N
DICED-UP	D AY S T AH P
SELF-RISING	S EH L F R AY Z IH NG
DIAMONDBACK'S	D AY M AH N D B AE K S
DISRELISH	D IH S R EH L IH SH
WEEPING'S	W IY P IH NG Z
DESALINATE	D IY S EY L IY N AH T
DISAPPROVINGLY	D IH S AH P R UW V IH NG L IY
PRE-ROLLED	P R IY R OW L D
MMMMM-MWAH	EH M EH M EH M EH M M W AA
DEOBSTRUCTING	D IY AH B S T R AH K T IH NG
FACE-CLEANING	F EY S K L IY N IH NG
BIZARRE-ACTING	B AH Z AA R AE K T IH NG
ACOUSTOOPTICS	AE K AW S T UW P T AH S Z
SERLING'S	S ER L IH NG Z
44,000	F OW R F OW R Z IY R OW Z IY R OW Z IY R OW
ACHAETOUS	AH CH IY T AH S
ABSOLUTISTICALLY	AE B S AH L UW T IH S T IH K AH L IY
ABELAM	AH B IH L AE M
CERATOSAUR	S AH R AE T AH S AH R
COMPUTER-GEEKIVOROUS	K AH M P Y UW T ER JH IY K IH V AH R AH S
DEREALIZATION	D IY R IY L AH Z EY SH AH N
CHICKEN-SOUPIFICATION	CH IH K AH N S UW P AH F AH K EY SH AH N
GAS-FROM-THE-BACK	G AE S F R AH M DH AH B AE K
AFTERPAINS	AE F T ER P EY N Z
AKUTAQ'S	AE K Y UW T AH K S
FRESH-FALLEN	F R EH SH F AA L AH N
DISCOMBOB	D IH S K AH M B AA B
DISCIND	D IH S AY N D
DISCINDING	D IH S AY N D AH NG
U.F.O	Y UW EH F OW
THREE-MONTH-OLD	TH R IY M AH N TH OW L D
DISQUISITIVE	D IH S W IH S AH T AH V
DISYLLABIZE	D IH S Y L AH B AY Z
TRANSFUSIONAL	T R AE N S F Y UW ZH AH N AH L
ACYSTIC	AH S IH S T IH K
ACROBACY	AE K R AA B AH S IY
KAN-UH-PAY	K AE N AH P EY
KON-FIH-DENT	K AA N F IY D EH N T
PALANQUININGLY	P AH L AE NG K W AH N IH NG L IY
OVERWEENINGLY	AH V AH R W AH N IH NG L IY
DISTHRONIZE	D IH S TH R OW N AY Z
DERMATOPATHY	D IH R M AH T AA P AH TH IY
DERMOPATHY	D IH R M AA P AH TH IY
GLOSSOPATHY	G L AA S AA P AH TH IY
CAP-AND-FEATHER	K AE P AH N D F EH DH ER
DISHWARE	D IH SH W EH R
DEEP'LL	D IY P L
DISPUTATIOUSNESS	D IH S P Y UW T AH T IY AH S N AH S
DISCONNECTEDNESS	D IH S K AH N EH K T AH D N AH S
DISWORSHIP	D IH S W ER SH AH P
CRURIFRAGIUM	K R UH R AH F R EY JH IY AH M
BEHOOVING	B IH HH UW V IH NG
DISEXERCISE	D IH S EH K S ER S AY Z
GOD-LIKE	G AA D L AY K
DIVINIZE	D AH V AY N AY Z
KATRINA'S	K AH T R IY N AH Z
NON-DOMESTIC	N AA N D AH M EH S T IH K
NON-ANAPESTIC	N AA N AH N AE P AH S T IH K
ACCUBATION'S	AE K Y AH B EY T IY AH N Z
AUGMENTS	AO G M EH N T S
DISSLANDEROUS	D IH S L AE N D ER AH S
D-I-S	D IY AY EH S
DACTYLOGRAPHY	D AE K T AH L AA G R AH F IY
CHORDOPHONE'S	CH AO R D AH F OW N AH Z
BEHOOVED	B IH HH UW V D
CROCOLITE	K R AA K AH L AY T
WRITER/PERFORMER	R AY T ER P ER F AO R M ER
PRAISE'LL	P R EY Z L
RACECAR'S	R EY S K AA R Z
DISPARKLE	D IH S AA R K AH L
ABERRANTLY	AE B EH R AH N T L IY
BOOB'S	B UW B Z
DISTRACTFUL	D IH S T R AE K T F AH L
DIVERBERATE	D AY V ER B IH R EY T
DISTINCTNESS	D IH S T IH NG K T N AH S
SKYHOOKING	S K AY HH UH K IH NG
ABDUL-JABBAR	AE B D UW L JH AH B AA R
CYBERPHOBE	S IH B AH R F OW B
CUT-AND-PASTING	K AH T AH N D P EY S T IH NG
HEEEEEEEEEERE'S	HH IY IY IY IY AH R AH Z
DIGENOUS	D IH G AH N AH S
NIGHTGOWN	N AY T G AW N
DIAPHANEITY	D AY AH F AH N IY AH T IY
DEMI-ISLAND	D EH M IY AY L AH N D
CONTRALRIAN	K AA N T R AE L R IY AH N
DICTIONALRIAN	D IH K T IY AH N AE L R IY AH N
LAULRA	L AO L R AH
LIBRALRIAN	L IH B R AE L R IY AH N
PROLEGOMENOUS	P R OW L EH G OW M AH N AH S
DECACHORDON	D IY K AE SH ER D AA N
DIVINERESSES	D AH V AY N ER AH S IH Z
DISSYMPATHY	D IH S IH M P AH TH IY
DISTRACTIOUS	D IH S T R AE K T IY AH S
RAVISHED	R EY V IH SH T
DISADVENTURE	D IH S AH D V EH N CH ER
SMASHLESS	S M AE SH L AH S
ABASHLESS	AH B AE SH L AH S
ABSQUATULATION	AE B S K W EY T Y AH L EY SH AH N
ABORDAGE	AH B AO R D AH JH
ACCOMPTING	AE K AA M P T AH NG
DISPUTISON	D IH S P Y UW T IY Z AO N
DISPUTISON'S	D IH S P Y UW T IY Z AO N Z
DISSEMBLANCE	D IH S EH M B L AH N S
CULEBRA	K Y UW L EH B R AH
DISSERVE	D IH S ER V
COPYBOOK'S	K AA P IY B UH K S
DISPONGE	D IH S AA N JH
12:10	W AH N T UW W AH N Z IY R OW
DISPLEASANT	D IH S P L EH Z AH N T
DISPROVIDE	D IH S P R AH V AY D
DISGRADE	D IH S G R EY D
KITCHEN-BASED	K IH CH AH N B EY S T
ZAPHERSON	Z AH F AH R S AH N
CONFLICTION'S	K AA N F L IH K SH AH N Z
DAPHNOMANCY,*	D AE F N AH M AE N S IY
*DIVINATION	D IH V AH N EY SH AH N
CHONKY	CH AO NG K IY
SERIALLY	S IH R IY AH L IY
ANTI-BACTERIALLY	AE N T IY B AE K T IH R IY AH L IY
ARTERIALLY	AA R T IH R IY AH L IY
DISASSENT	D IH S AH S EH N T
DISCESSION	D IH S EH SH AH N
DISCONDUCIVE	D IH S K AH N D UW S IH V
ABNORMALISM	AE B N AO R M AH L IH Z AH M
WAR-LOVING	W AO R L AH V IH NG
SACCHARINITY	S AE K AH R IH N AH T IY
CONVICINITY	K AH N V AH S IH N AH T IY
DISCOMMEND	D IH S K AH M EH N D
DISINSURE	D IH S IH N SH UH R
GREASY-HAIRED	G R IY S IY HH EH R D
DISSETTLEMENT	D IH S EH T AH L M AH N T
DISSIMILARITY'S	D IH S IH M AH L AE R AH T IY Z
DISSEVERANCE	D IH S AH V IH ER AH N S
DIVARICATOR	D AY V ER IH K AH T ER
DISINSECTION	D IH S IH N S EH K SH AH N
DISINGENUITY	D IH S IH N JH AH N UW AH T IY
AGOO	AE G UW
DISLIVE	D IH S L IH V
DISINFESTATION	D IH S IH N F EH S T EY SH AH N
ABSOTIVELY	AE B S AH T AY V L IY
POSILUTELY	P AA S AH L UW T L IY
DISPLEASEDLY	D IH S P L IY Z AH D L IY
DISPENDER	D IH S P EH N D ER
CRANKNESS	K R AE NG K N AH S
DIVIDUALLY	D AH V IH D Y UW AE L IY
DISJOINING	D IH S JH OY N IH NG
O'CLOCKS	AH K L AA K S
QUARTER-TO-THREE	K W AO R T ER T UW TH R IY
DEGLOVING	D IY G L AH V IH NG
SLO-MO	S L OW M OW
38-D	TH R IY EY T D IY
DISCOMMISSIONED	D IH S K AH M IH SH AH N D
DISEMBOSSOM	D AH S AH M B AA S AH M
DISEASEFULNESS	D IH Z IY Z F AH L N AH S
DISEMBARRASS	D IH S IH M B AE R AH S
DISFANCY	D IH S F AE N S IY
DISEPALOUS	D AH S EH P AH L AH S
SEPAL	S IY P AH L
TWO-SEPALED	T UW S AH P EY L D
DISFAVORABLE	D IH S F EY V ER AH B AH L
STINKEROO	S T IH NG K AH R UW
DIFFINITIVE	D IH F IH N AH T AH V
ABRIN'S	AE B R AH N Z
ABRAZITIC'S	AE B R AE Z AH T AH S Z
PORTRAIT'S	P AO R T R AH TS
DISSEMENATIVE	D IH S EH M AH N EY T AH V
DISFASHION	D IH S F AE SH AH N
ACESCENT	EY S EH N T
ADJURATION'S	AE JH AH R EY T IY AH N Z
QUADRATICS	K W AA D R AE T IH K S
CONSECTION	K AH N S EH K SH AH N
ADLITTORAL	AE D L IH T AH R AH L
ACROCHORDON	AE K R AH CH AO R D AH N
DISSENTIVE	D IH S EH N T IH V
COON-ASS	K UW N AE S
DISLEAF	D IH S L IY F
DISLEAVE	D IH S L IY V
ABITIBI'S	AE B IH T IY B IY Z
WHOOP-DE-DO	W UW P D IY D UW
DISFRIARED	D IH S F R AY ER D
DISCRADLE	D IH S K R EY D AH L
DISROCKED	D IH S R AA K T
DISSLEEP	D IH S L IY P
DISPEEP	D IH S P IY P
DAMAGEABLE	D AE M IH JH AH B AH L
MESSIN	M EH S IH N
AGASTRIC	AE G AH S T R AH K
GREAT-GRAMMA	G R EY T G R AE M AH
ON-LOOKERS	AA N L UH K ER Z
MANIC-DEPRESSIVELY	M AE N IH K D IY P R EH S IH V L IY
DITRICHOTOMOUS	D IH T R AH CH AA T AH M AH S
SNAKEBIT	S N EY K B IH T
ANABATIC	AH N AE B AH T IH K
CO-WROTE	K OW R OW T
PASTERFIELD	P EY S T ER F IY L D
TOKIN	T AA K AH N
ABJECTIVE	AE B JH EH K T IH V
FECTIVE	F EH K T AH V
DQ'ED	D K EH D
DOETH	D OW IH TH
WHAMMIES	W AA M AY Z
DISHARMONIOUS	D IH S HH AA R M OW N IY AH S
ULENT	Y UW L AH N T
TERING	T IY R AH NG
DIFFINE	D IH F AY N
DAUBY	D AO B IY
SMEARY	S M IH ER IY
DATEFUL	D EY T F AH L
CLOVEN-FOOTED	K L OW V AH N F UH T IH D
DISTRAINABLE	D IH S T R EY N AH B AH L
DOULOCRACIES	D AW L AA K R AH S IY Z
DISPOSURE	D IH S P OW ZH ER
KAH-NOO-WAY	K AA N UW W EY
KUH-NOO	K UW N UW
COPPERISH	K AA P ER IH SH
CONSUMMATELY	K AH N S AH M AH T L IY
REVIEWS'RE	R IY V Y UW Z R
ALAMOGORDO	AE L AH M AH G AO R D OW
MINI-WHEATS	M IH N IY W IY T S
KIX	K IH K S
QUISP	K W IH S
ASCARED	AH S K EH R D
DOUBLE-DOG-DARED	D AH B AH L D AO G D EH R D
METALHEAD	M EH T AH L HH EH D
ACK-EMMA	AE K EH M AH
DIARTHRIC	D AY AH R TH R AH K
DIFFAME	D IH F EY M
ABKHAZ-ADYGHEAN	AE B K HH AH Z AH D IH IY AH N
LICK'LL	L IH K L
DRUGSTER	D R AH G S T ER
DISANNULMENT	D AH S AE N Y UH L M AH N T
ANNULMENT'S	AE N AH L M AH N TS
DISENCRESE	D IH S AH N K R IY Z
DEFILIATION	D IH F AY L IY EY SH AH N
LINDBERGH'S	L IH N D B ER G Z
ADJUVANT'S	AE JH UW V AH N T S
ADJUTANT_STORK_NEWS.COM	AE JH AH T AH N T S T AO R K N UW Z K AA M
NRA-TRAINED	N R AA T R EY N D
ASSIDUITY	AE S AH D Y UW AH T IY
YESSES	Y EH S IH Z
DON'T-KNOWS	D OW N T N OW Z
CUCKOLDIZE	K AH K OW L D AY Z
DRYS	D R AY Z
PROHIBITIONISTS	P R OW AH B IH SH AH N IH S T S
DESTROYABLE	D IH S T R OY AH B AH L
BABABAD-ALGHA	B AE B AH B AH D AE L AH
FINNEGANS	F IH N AH G AH N Z
RAGHTA-KAMMIN-ARRONN	R AE T AH K AE M AH N AE R AH N
KONNBRONNTON	K AA N B R AA N T AH N
NERRONN-TUONN	N EH R AH N T Y UW AH N
THUNNTRO-VARRHOUN-AWNSKAWN-TOOHOOHOOR	TH AH N T R OW V AE R AW N AO N S AH N T UW HH UW HH OW AH R
DENEN-THURNUK	D EH N AH N TH AH R N AH K
DECENNIA	D AH S EH N IY AH
NO-SEX-UNTIL-MARRIAGE	N OW S EH K S AH N T IH L M EH R IH JH
ROLLER-SKATE	R OW L ER S K EY T
BREAST-FEED	B R EH S T F IY D
DISLIKELIHOOD'S	D IH S L AY K L IY HH UH D Z
DOMINEERINGNESS	D AA M AH N IY R IH NG N AH S
BOONG	B UW NG
BOONGA	B UW N G AH
BOONIE	B UW N IY
DOORKEEPER'S	D AO R K IY P ER Z
DEONTOLOGISTS	D IY AA N T AA L AH JH AH S T S
PITCHWOMAN	P IH CH W UH M AH N
ABSORBABILITY	AH B Z AO R B AH B IH L AH T EH
VIEWINGS	V Y UW IH NG Z
DOUBLE-PARKING'S	D AH B AH L P AA R K IH NG Z
ACNE-FACED	AE K N IY F EY S T
SPUDLY	S P AH D L IY
DOUGHFACEISM	D OW F EY S IH Z AH M
TRUCKLING	T R AH K L IH NG
PLIABILITY	P L AY AH B IH L AH T EH
AFIKOMEN	AH F IH K AH M AH N
DISPRAISE	D IH S P R EY Z
TRANSBLOATER	T R AE N S B L OW T ER
PHLANGED	F L AE NG D
ADENOPHOROUS	AE D AH N AA F AH R AH S
CLUB-HOPPER	K L AH B HH AA P ER
COCAINIZE	K OW K EY N AY Z
RULESRULESRULESRULES	R UW L Z R UW L Z R UW L Z R UW L Z
BE@	B IY
RETRE@	R AH T AH R
M@TER	M T EH R
R@-A-T@-T@	AA R EY T IY T IY
INF@U@ION	IH N F UW AY AA N
B@TLE	B T AH L
IRR@IONAL	AH R AY AA N AH L
C@TLE	K T AH L
SEN@E	S EH N
C@S	S IY S
H@E	
HECTER	HH EH K T AH R
DEFECTER	D IY F EH K T ER
DIRECTER	D AH R EH K T ER
COLLECTER	K AA L IH K T ER
CHURCHLINESS	CH ER CH L IY N AH S
CULTISM'S	K AH L T IH Z AH M Z
BLOODGATE	B L AH D G EY T
DOMICILIATES	D AA M AH S AY L IY AH T S
PAJAMA-CLAN	P AH JH AA M AH K L AE N
CONSECTANEOUS	K AA N S EH K T EY N IY AH S
URNED	ER N D
DISIMPROVING	D IH S IH M P R UW V IH NG
CORRAL'S	K ER AE L Z
DISINCLOSE	D IH S IH N K L OW Z
DESYNONYMIZATION'S	D IY S IH N AH N IH M AH Z EY SH AH N Z
DEFECTUOSITY	D AH F EH K T Y UW AA Z AH T IY
CRYOSPHERE	K R AY AA S AH R
FORECLOSIN	F AH R EH K L AH S AH N
DEFIZZED	D AH F IH Z D
NAILS-ON-A-CHALKBOARD-LIKE	N EY L Z AA N EY CH AO K B OW R D L AY K
DISSONATE	D IH S AH N AH T
DAYCATIONS	D EY K EY SH AH N Z
NO-EXPENSE	N OW IH K S P EH N S
DOUBLE-DATE	D AH B AH L D EY T
FLAYHARDT	F L EY HH AH R D T
FRANK'LL	F R AE NG K L
OMNA	AA M N AH
MEBBY	M EH B IY
SUMMUDDER	S AH M AH D ER
DRUMBLE	D R AH M B AH L
OFF-SWITCH	AO F S W IH CH
ASAMA	AE S AH M AH
1783	W AH N S EH V AH N EY T TH R IY
APTAGRAM	AE P T AH G R AE M
COMMUNALISM	K AH M Y UW N AH L IH Z AH M
DORAPHOBIA	D AO R AH F OW B IY AH
HOMERED	HH OW M ER D
DESERVINGNESS	D IH Z ER V IH NG N AH S
HUNDRED-TO-ONE	HH AH N D R AH D T UW W AH N
FEYANCE	F EY AH N S
CLICKJACKING	K L IH K JH AE K IH NG
GRAMPA'S	G R AE M P AH Z
DISPENSABILITY	D IH S P EH N S AH B IH L AH T EH
FOURTH-STRING	F AO R TH S T R IH NG
BI-GENDERED	B AY JH EH N D ER D
EXPI	IH K S IY
POGANY	P AA G AH N IY
TONTOGANY	T AA N T AA G AH N IY
WOOABLE	W UW AH B AH L
UNPURSUABLE	AH N P ER S UW AH B AH L
CONVERSATIONALLY	K AA N V ER S EY SH AH N AH L IY
BREWABLE	B R UW AH B AH L
DISMAYFUL	D IH S M EY F AH L
KUNTA	K AH N T AH
KINTE	K IH N T
DISROOTED	D IH S R UW T IH D
SOREO	S AO R IY OW
GIN-SOAKED	JH IH N S OW K T
BATHIN	B AE TH IH N
DACRYOCYSTECTOMY	D AE K R AY AH S AH S T EH K T AH M IY
UNREADINESS	AH N R EH D IY N AH S
BIOPHARMING	B AY AH F AA R M AH NG
RHYMING'S	R AY M IH NG Z
ANTI-ANTI-AMERICAN	AE N T IY AE N T IY AH M EH R IH K AH N
PRO-U.S.A	P R OW Y UW EH S AH
ADVERTECTURE	AE D AH R T EH K T Y AH R
DISINHIBITION	D IH S IH N HH AH B IH SH AH N
ANTI-BOOZE	AE N T IY B UW Z
LITERALIST	L IH T AH R AH L IH S T
ANTITUBERCULOSIS	AE N T AY T UH B ER K Y AH L OW S AH S
DENOMINABLE	D IY N AA M AH N AH B AH L
RATFACE	R AE T F EY S
BILLBOARD-LIKE	B IH L B AO R D L AY K
BRANDALISM	B R AE N D AH L IH Z AH M
BRIDEZILLA	B R IH D AH Z IH L AH
BORN-DIGITAL	B AO R N D IH JH AH T AH L
ONE-FIFTY	W AH N F IH F T IY
DB'S	D IY B IY S
BOOKMARKED	B UH K M AA R K T
BEEF-FREE	B IY F F R IY
BARGAIN-BIN	B AA R G AH N B IH N
ARENOID	AE R AH N OY D
KENNETH'S	K EH N IH TH S
BAWDS	B AO D Z
PANSK	P AE N S
D-A-N-C-E-R-E-S-S	D IY EY EH N S IY IY AA R IY EH S EH S
JO-JO	JH OW JH OW
DODIPOLL	D AA D AH P AH L
DECROWN	D IY K R AW N
RECITABLE	R IY S AY T AH B AH L
HEARTABLE	HH AA R T AH B AH L
DEPARTABLE	D IY P AA R T AH B AH L
BLOODGUILT	B L AH D G IH L T
SOUL-CRUSHINGLY	S OW L K R AH SH IH NG L IY
DEGRAVATION'S	D IY G R EY V EY SH AH N Z
DISSENTANEOUS	D IH S EH N T EY N IY AH S
BENDY-BUS	B EH N D IY B AH S
APPRAISEE	AH P R EY Z IY
DAMFINO	D AE M F AH N OW
BOO-HOO-HOO	B UW HH UW HH UW
AFTERSHOW	AE F T ER SH OW
PERFORMING'S	P ER F AO R M IH NG Z
REHEARSING'S	R IH HH ER S IH NG Z
HAAACK	HH AA AH K
A-WHOOOOK	EY W UW AH K
COLOSSEAN	K OW L AA S IY AH N
DISSEAT	D IH S IY T
UNOBTRUSIVELY	AH N AH B T R UW S IH V L IY
UNDATABLE	AH N D EY T AH B AH L
CREATABLE	K R IY EY T AH B AH L
COCTIBLE	K AA K T AH B AH L
ANTICI	AE N T AH S IY
PATION	P EY SH AH N
BUTT"S	B AH T S
DIBSTONES	D IH B S T OW N Z
HUCKLEBONES	HH AH K L AH B OW N Z
JACKSTONES	JH AE K S T OW N Z
KNUCKLEBONES	N AH K AH L B OW N Z
STORYLINE'S	S T AO R IY L AY N Z
PERVERTS.COM	P ER V ER T S K AA M
DISCOPLACENTA	D IH S AH P L AH S EH N T AH
CONGEALS	K AH N JH IY L Z
DOUBLE-MINDED	D AH B AH L M AY N D AH D
DEEP-MOUTHED	D IY P M AW DH D
DOT.COM	D AA T K AA M
DIPLOMATISM	D IH P L AH M AE T IH Z AH M
BEANIE'S	B IY N IY Z
CONSPIRATION	K AH N S P AY ER EY SH AH N
DISPRAISINGLY	D IH S P R EY Z IH NG L IY
DISCAPACITATE	D IH S K AH P AE S AH T AH T
DRYWELL	D R AY W EH L
RUNOFFS	R AH N AO F S
DRAH-ZHAY	D R AE Z HH EY IY
SCHOOLING'S	S K UW L IH NG Z
DISCIPLINABLENESS	D IH S AH P L AH N AH B AH L N AH S
MISSILEBINABLENESS	M IH S AH L B IH N AH B AH L N AH S
BLESSEDVIRGIN.COM	B L EH S T V ER JH AH N K AA M
DRAPETOMANIA	D R AE P AH T AH M EY N Y AH
WHIPPINGS	W IH P IH NG Z
ABIOGENETICALLY	EY B IY AH JH AH N EH T AH K AE L IY
UNSYMPATHETICALLY	AH N S IH M P AH TH EH T IH K AH L IY
OOOOO	UW UW OW
DIREPTITIOUS	D AH R EH P T AH SH AH S
DISCOMMODATE	D IH S K AH M OW D AH T
DEBILITATION	D AH B IH L AH T EY SH AH N
FALL-DOWN	F AO L D AW N
COMMODE-HUGGING	K AH M OW D HH AH G IH NG
DONATOR	D OW N EY T ER
DOWRESS	D OW R AH S
CRITERION'S	K R AY T IH R IY AH N Z
CRITERIUM'S	K R AH T IY R IY AH M Z
DROPT	D R AA P T
P-E-D	P IY IY D IY
SHOPT	SH AA P T
DROPT-FREE	D R AA P T F R IY
DOLLAR-A-YEAR	D AA L ER EY Y IH R
DRAKESTONE	D R EY K S T OW N
ANGLOSPHERE	AE N G L AA S AH R
PASTRY-HEAD	P EY S T R IY HH EH D
CLUBMEN	K L AH B M EH N
ABSTENTIONISM	AH B S T EH N CH AH N IH Z AH M
DISCOVERMENT	D IH S K OW V EH R M AH N T
BINOTONOUS	B AY N AA T AH N AH S
DONIFEROUS	D AH N IH F AH R AH S
CORALLIGENOUS	K OW R AE L IH JH AH N AH S
DOWERY	D AW AH R IY
THIS-I-JUST-DO-NOT-DESERVE	DH IH S AY JH AH S T D UW N AA T D IH Z ER V
COOKROOM	K UH K R UW M
CIRCUMAMBIENCY	S ER K AH M AE M B IY AH N S IY
HOTHEADS	HH AA T HH EH D Z
CLEAN-TIMBERED	K L IY N T IH M B ER D
DZO	D Z OW
GRAPEFRUIT-SIZED	G R EY P F R UW T S AY Z D
DUCKPINS	D AH K P IH N Z
JUANISM	JH UW W AH N IH Z AH M
CHEADLE'S	CH IY D AH L Z
DONNABLE	D AA N AH B AH L
DISPERMOUS	D IH S P ER M IY AH S
TWO-SEEDED	T UW S IY D AH D
DISCOMMODITY	D IH S K AH M AA D AH T IY
DEVOUTFULLY	D IH V AW T F AH L IY
SAUERKRAUTFULLY	S AW ER K R AW T F AH L IY
DOUBTFULLY	D AW T F AH L IY
DISECONOMY	D IH S IH K AA N AH M IY
DEPECULATION	D AH P IY K Y AH L EY SH AH N
FRIJOLES	F R AH JH OW L Z
BEANER	B IY N ER
TOO-SMALL-TO-BE-SEEN	T UW S M AO L T UW B IY S IY N
G.I.S	JH IY AY S
FIFTEEN-MILE	F IH F T IY N M AY L
DRABBLE-TAIL	D R AE B AH L T EY L
CLINOMANIACS	K L IH N AH M EY N IY AH S
DROUGH	D R UW
DRECKY	D R EH K IY
DISQUANTITY	D IH S K W AA N T AH T IY
LEATHER-CLAD	L EH DH ER K L AE D
BROOOOOOOOOOOM	B R UW UW UW UW UW AH M
CROW-TRODDEN	K R OW T R AA D AH N
DJEREED'S	JH IY R IY D Z
DONGA	D AA N G AH
DECEPTIBLE	D AH S EH P T AH B AH L
BIRDWING	B ER D W IH NG
MCGIRTY	M K JH IH R T IY
DOWN-AND-DIRTY	D AW N AH N D D ER T IY
CIMON	S IH M AH N
DISAVENTUROUS	D IH S AH V EH N CH ER AH S
MISADVENTUROUS	M IH S AH D V EH N CH ER AH S
SHVEETHEART	SH V IY TH AH R T
BUDVEISER	B AH D IY AH S AH R
VAHTER	V AE T AH R
DUMMIED	D AH M IY D
DROPPA	D R AA P AH
KA-PLINK	K AA P L IH NG K
DISCIDE	D IH S AY D
ZZZ...ZZZ...ZZZ...ZZZ...ZZZ...ZZZ...ZZZ...ZZZ...ZZZ	Z IY Z IY Z IY Z IY Z IY Z IY Z IY Z IY Z IY Z IY Z IY Z IY Z IY Z IY Z IY Z IY Z IY Z IY Z IY Z IY Z IY Z IY Z IY Z IY Z IY Z IY Z
ZZZ...ZZZ...ZZZ...ZZZ...ZZZ...ZZZ	Z IY Z IY Z IY Z IY Z IY Z IY Z IY Z IY Z IY Z IY Z IY Z IY Z IY Z IY Z IY Z IY Z IY Z
ANAGRAMMATICAL	AE N AH G R AE M AH T IH K AH L
COOEE	K UW IY
COOOOOOOOOOOOOOOOOOOOOOOOOO-EE	K OW UW UW UW UW UW UW UW UW UW UW UW UW OW IY
DYSLOGY	D IH Z L AH JH IY
CONTINUANTS	K AH N T IH N Y UW AH N T S
ZZZZZZZZZZZZZZZZZZZZZZZZZZING	Z IH NG
INSENSIBLY	IH N S EH N S AH B L IY
COMPREHENSIBLY	K AA M P R IH HH EH N S AH B L IY
COMMEASURABLE	K AH M EH ZH ER AH B AH L
SEVENTY-EIGHT	S EH V AH N T IY EY T
